epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.65853,2.25201,3.27311,2.57314,0.01267,0.86364,0.02791,0.00918,1.98278,2.96037,2.44574,0,0,0
2,2.42865,2.22901,3.99738,2.77155,0.012,0.81818,0.02903,0.00957,1.9917,2.94601,2.43289,1.9934e-05,1.9934e-05,1.9934e-05
3,3.37992,2.34376,3.42343,2.86418,0.01333,0.90909,0.03829,0.01134,1.95764,2.93437,2.40295,3.9736e-05,3.9736e-05,3.9736e-05
4,4.2919,2.36873,3.55498,2.99046,0.01333,0.90909,0.0527,0.01621,1.92064,2.98574,2.37397,5.9406e-05,5.9406e-05,5.9406e-05
5,4.99278,2.21212,3.50171,2.86503,0.01467,1,0.05661,0.0156,1.91177,3.0378,2.35494,7.8944e-05,7.8944e-05,7.8944e-05
6,5.63482,2.56924,3.43174,3.28408,0.014,0.95455,0.04932,0.01667,1.87598,3.0669,2.32604,9.835e-05,9.835e-05,9.835e-05
7,6.22152,2.16479,3.63458,2.79106,0.01467,1,0.05316,0.01693,1.81708,3.10366,2.30114,0.000117624,0.000117624,0.000117624
8,6.89146,2.32333,3.51372,2.87668,0.01,0.68182,0.07222,0.01604,1.85699,2.7888,2.2832,0.000136766,0.000136766,0.000136766
9,7.5543,1.88019,3.18629,2.36099,0.01067,0.72727,0.06096,0.01673,1.57484,2.7619,2.15854,0.000155776,0.000155776,0.000155776
10,8.23915,1.37853,2.70486,2.04387,0.01,0.68182,0.17046,0.04839,1.35031,2.63522,1.9651,0.000174654,0.000174654,0.000174654
11,8.92043,1.33068,2.50843,2.10513,0.01847,0.68182,0.37047,0.19485,1.2178,2.51231,1.89192,0.0001934,0.0001934,0.0001934
12,9.6142,1.08462,2.36087,1.80543,0.80874,0.19373,0.41728,0.26804,1.17946,2.31019,1.94255,0.000212014,0.000212014,0.000212014
13,10.3143,1.02291,2.14634,1.89866,0.81116,0.31818,0.47668,0.34301,1.11266,2.12903,1.89296,0.000230496,0.000230496,0.000230496
14,11.0086,1.04019,2.21871,1.90348,0.6279,0.36364,0.46427,0.36076,1.13621,2.01471,1.90078,0.000248846,0.000248846,0.000248846
